id_logradouro,logradouro,tipo_abrev,tipo,titulo_abrev,titulo,preposicao,nome
778168,RUA PADRE MIGUEL LUIS TEIXEIRA,R,RUA,PDE,PADRE,,MIGUEL LUIS TEIXEIRA
109835,RUA PADRE JOSE GARZOTTI,R,RUA,PDE,PADRE,,JOSE GARZOTTI
796018,RUA PADRE MANUEL GABINO DE CARVALHO,R,RUA,PDE,PADRE,,MANUEL GABINO DE CARVALHO
NA,RUA PADRE RENATO,R,RUA,PDE,PADRE,,RENATO
101338,RUA PADRE JOAO ANTONIO,R,RUA,PDE,PADRE,,JOAO ANTONIO
120120,AVENIDA PADRE LOURENCO,AV,AVENIDA,PDE,PADRE,,LOURENCO
142794,RUA PADRE MOURA,R,RUA,PDE,PADRE,,MOURA
108111,RUA PADRE JOSE BLASCO,R,RUA,PDE,PADRE,,JOSE BLASCO
650706,RUA PADRE SIMAO MAZZETA,R,RUA,PDE,PADRE,,SIMAO MAZZETA
302740,RUA PADRE JACOME DE QUEIROZ,R,RUA,PDE,PADRE,,JACOME DE QUEIROZ
013110,RUA PADRE ANDRE DUGUET,R,RUA,PDE,PADRE,,ANDRE DUGUET
022810,RUA PADRE ARNALDO PEREIRA,R,RUA,PDE,PADRE,,ARNALDO PEREIRA
103624,RUA PADRE JOAO MANUEL,R,RUA,PDE,PADRE,,JOAO MANUEL
048895,RUA PADRE CHICO,R,RUA,PDE,PADRE,,CHICO
018830,RUA PADRE ANTONIO TOMAS,R,RUA,PDE,PADRE,,ANTONIO TOMAS
315206,AVENIDA PADRE ANTONIO JOSE DOS SANTOS,AV,AVENIDA,PDE,PADRE,,ANTONIO JOSE DOS SANTOS
496227,PRACA PADRE ANTONIO CARLOS BARBOSA PINHO,PC,PRACA,PDE,PADRE,,ANTONIO CARLOS BARBOSA PINHO
117269,PRACA PADRE LEO MORIN,PC,PRACA,PDE,PADRE,,LEO MORIN
299596,RUA PADRE XAVIER DE SANTANA,R,RUA,PDE,PADRE,,XAVIER DE SANTANA
110604,RUA PADRE JOSE MANTERO,R,RUA,PDE,PADRE,,JOSE MANTERO
396699,RUA PADRE POTRILHO,R,RUA,PDE,PADRE,,POTRILHO
431435,TRAVESSA PADRE PIETRO ALFONSO ZAMBERLAN,TV,TRAVESSA,PDE,PADRE,,PIETRO ALFONSO ZAMBERLAN
153354,RUA PADRE RAMON ORTIZ,R,RUA,PDE,PADRE,,RAMON ORTIZ
429007,RUA PADRE DONIZETTI,R,RUA,PDE,PADRE,,DONIZETTI
506010,PASSARELA PADRE DUILIO LIBURDI,PA,PASSARELA,PDE,PADRE,,DUILIO LIBURDI
304832,RUA PADRE LORETO COUTO,R,RUA,PDE,PADRE,,LORETO COUTO
109061,RUA PADRE JOSE DE OLIVEIRA ROLIM,R,RUA,PDE,PADRE,,JOSE DE OLIVEIRA ROLIM
720160,RUA PADRE FERNANDO DE MONSERRATE,R,RUA,PDE,PADRE,,FERNANDO DE MONSERRATE
214728,RUA PADRE LUIZ GARGIONI,R,RUA,PDE,PADRE,,LUIZ GARGIONI
123919,RUA PADRE MANUEL GODINHO,R,RUA,PDE,PADRE,,MANUEL GODINHO
049220,RUA PADRE CICERO DE REVOREDO,R,RUA,PDE,PADRE,,CICERO DE REVOREDO
152307,RUA PADRE OTTO MARIA,R,RUA,PDE,PADRE,,OTTO MARIA
NA,RUA PADRE JOSINO,R,RUA,PDE,PADRE,,JOSINO
000680,RUA PADRE FRANCISCO AMOS CONNOR,R,RUA,PDE,PADRE,,FRANCISCO AMOS CONNOR
NA,RUA PADRE FERREIRA DA ROCHA,R,RUA,PDE,PADRE,,FERREIRA DA ROCHA
036897,RUA PADRE BRUNO RICCO,R,RUA,PDE,PADRE,,BRUNO RICCO
196860,RUA PADRE VIEIRA,R,RUA,PDE,PADRE,,VIEIRA
114472,RUA PADRE JUSTINO,R,RUA,PDE,PADRE,,JUSTINO
157805,RUA PADRE PAULO RAVIER,R,RUA,PDE,PADRE,,PAULO RAVIER
084638,RUA PADRE GUIDO DEL TORO,R,RUA,PDE,PADRE,,GUIDO DEL TORO
457558,RUA PADRE VIRGILIO CAMPELO,R,RUA,PDE,PADRE,,VIRGILIO CAMPELO
047732,RUA PADRE CERDA,R,RUA,PDE,PADRE,,CERDA
157910,AVENIDA PADRE ORLANDO GARCIA DA SILVEIRA,AV,AVENIDA,PDE,PADRE,,ORLANDO GARCIA DA SILVEIRA
172316,RUA PADRE ROBERTO WALS,R,RUA,PDE,PADRE,,ROBERTO WALS
043273,RUA PADRE CARLOS DA SILVA,R,RUA,PDE,PADRE,,CARLOS DA SILVA
058882,RUA PADRE DIOGO,R,RUA,PDE,PADRE,,DIOGO
074870,RUA PADRE FRANCISCO MARCONDES IMPROTA,R,RUA,PDE,PADRE,,FRANCISCO MARCONDES IMPROTA
658820,RUA PADRE OLAVO PEREIRA DA SILVA,R,RUA,PDE,PADRE,,OLAVO PEREIRA DA SILVA
030457,RUA PADRE FRANCISCO CARNEIRO,R,RUA,PDE,PADRE,,FRANCISCO CARNEIRO
345555,RUA PADRE ANTONIO ROSMINI,R,RUA,PDE,PADRE,,ANTONIO ROSMINI
789844,RUA PADRE PAULO LOPES,R,RUA,PDE,PADRE,,PAULO LOPES
736864,RUA PADRE ANIBAL DIFRANCIA,R,RUA,PDE,PADRE,,ANIBAL DIFRANCIA
068110,RUA PADRE EUSTAQUIO,R,RUA,PDE,PADRE,,EUSTAQUIO
026590,RUA PADRE AZEVEDO,R,RUA,PDE,PADRE,,AZEVEDO
015610,RUA PADRE ANTONIO DE ANDRADE,R,RUA,PDE,PADRE,,ANTONIO DE ANDRADE
008087,RUA PADRE ALOISIO ZENS,R,RUA,PDE,PADRE,,ALOISIO ZENS
243183,RUA PADRE RODRIGUES FERNANDES,R,RUA,PDE,PADRE,,RODRIGUES FERNANDES
238821,RUA PADRE ANTHONY SAMMUT,R,RUA,PDE,PADRE,,ANTHONY SAMMUT
127523,RUA PADRE RENATO AZEVEDO,R,RUA,PDE,PADRE,,RENATO AZEVEDO
032344,RUA PADRE BENTO IBANEZ,R,RUA,PDE,PADRE,,BENTO IBANEZ
122971,RUA PADRE LUIS ROSSI,R,RUA,PDE,PADRE,,LUIS ROSSI
242659,RUA PADRE HANS KLEIN,R,RUA,PDE,PADRE,,HANS KLEIN
629383,RUA PADRE DOMINGOS GOMES ALBERNAZ,R,RUA,PDE,PADRE,,DOMINGOS GOMES ALBERNAZ
343196,RUA PADRE ASCENSO GAGO,R,RUA,PDE,PADRE,,ASCENSO GAGO
479624,PRACA PADRE PEDRO BONNIER,PC,PRACA,PDE,PADRE,,PEDRO BONNIER
315281,PRACA PADRE ROSSETTI,PC,PRACA,PDE,PADRE,,ROSSETTI
314870,RUA PADRE FRANCISCO XAVIER ROSER,R,RUA,PDE,PADRE,,FRANCISCO XAVIER ROSER
012777,RUA PADRE ANDRADE DUQUET,R,RUA,PDE,PADRE,,ANDRADE DUQUET
617210,RUA PADRE FERREIRA DA ROCHA,R,RUA,PDE,PADRE,,FERREIRA DA ROCHA
175773,RUA PADRE SABOIA DE MEDEIROS,R,RUA,PDE,PADRE,,SABOIA DE MEDEIROS
122076,RUA PADRE LUIZ DA GRA,R,RUA,PDE,PADRE,,LUIZ DA GRA
119024,RUA PADRE LINDOLFO ESTEVES,R,RUA,PDE,PADRE,,LINDOLFO ESTEVES
535010,RUA PADRE CARLOS AUGUSTO DONINI,R,RUA,PDE,PADRE,,CARLOS AUGUSTO DONINI
114723,RUA PADRE JUVENCIO PISONI,R,RUA,PDE,PADRE,,JUVENCIO PISONI
032700,RUA PADRE BERNARDINO BANDEIRA,R,RUA,PDE,PADRE,,BERNARDINO BANDEIRA
790710,RUA PADRE JACINTO DE CARVALHAIS,R,RUA,PDE,PADRE,,JACINTO DE CARVALHAIS
174688,RUA PADRE ROSER,R,RUA,PDE,PADRE,,ROSER
511803,PRACA PADRE JOSE RADICI,PC,PRACA,PDE,PADRE,,JOSE RADICI
408727,RUA PADRE TOMAS PEREIRA,R,RUA,PDE,PADRE,,TOMAS PEREIRA
179930,RUA PADRE SENEPA,R,RUA,PDE,PADRE,,SENEPA
691488,RUA PADRE DICTINO DE LA PARTE ABIA,R,RUA,PDE,PADRE,,DICTINO DE LA PARTE ABIA
109932,RUA PADRE JOSE GIANNELLA,R,RUA,PDE,PADRE,,JOSE GIANNELLA
621200,RUA PADRE VICENTE DE ARAUJO,R,RUA,PDE,PADRE,,VICENTE DE ARAUJO
111007,RUA PADRE JOSE NATUZZI,R,RUA,PDE,PADRE,,JOSE NATUZZI
622842,RUA PADRE IRINEU CURSINO DE MOURA,R,RUA,PDE,PADRE,,IRINEU CURSINO DE MOURA
101230,RUA PADRE JOAO DE ALMEIDA,R,RUA,PDE,PADRE,,JOAO DE ALMEIDA
785288,RUA PADRE DOMINGOS CUNHA,R,RUA,PDE,PADRE,,DOMINGOS CUNHA
168297,RUA PADRE RAIMUNDO DA SILVA,R,RUA,PDE,PADRE,,RAIMUNDO DA SILVA
785679,RUA PADRE MANUEL HONORATO,R,RUA,PDE,PADRE,,MANUEL HONORATO
006050,PRACA PADRE ALEIXO MONTEIRO MAFRA,PC,PRACA,PDE,PADRE,,ALEIXO MONTEIRO MAFRA
279897,RUA PADRE CORINO SANI,R,RUA,PDE,PADRE,,CORINO SANI
045110,RUA PADRE CARVALHO,R,RUA,PDE,PADRE,,CARVALHO
241024,RUA PADRE DOMINGOS NUNES,R,RUA,PDE,PADRE,,DOMINGOS NUNES
591300,RUA PADRE GABRIEL MALAGRIDA,R,RUA,PDE,PADRE,,GABRIEL MALAGRIDA
082880,RUA PADRE GUALBERTO LIMA,R,RUA,PDE,PADRE,,GUALBERTO LIMA
361720,AVENIDA PADRE FRANCISCO DE TOLEDO,AV,AVENIDA,PDE,PADRE,,FRANCISCO DE TOLEDO
129100,RUA PADRE MARCHETTI,R,RUA,PDE,PADRE,,MARCHETTI
343064,RUA PADRE NICOLINO SOUSA,R,RUA,PDE,PADRE,,NICOLINO SOUSA
069442,RUA PADRE FELICIANO DOMINGUES,R,RUA,PDE,PADRE,,FELICIANO DOMINGUES
122980,RUA PADRE LUIS ROUMANIE,R,RUA,PDE,PADRE,,LUIS ROUMANIE
003271,RUA PADRE AGOSTINHO DE MATOS,R,RUA,PDE,PADRE,,AGOSTINHO DE MATOS
047163,RUA PADRE CELESTINO DORDIS,R,RUA,PDE,PADRE,,CELESTINO DORDIS
031453,RUA PADRE BENEDITO DE CAMARGO,R,RUA,PDE,PADRE,,BENEDITO DE CAMARGO
140465,RUA PADRE TIAGO ALBERIONE,R,RUA,PDE,PADRE,,TIAGO ALBERIONE
470694,PRACA PADRE JUAN CARLO GUARDIOLA,PC,PRACA,PDE,PADRE,,JUAN CARLO GUARDIOLA
748820,RUA PADRE CATALDINO,R,RUA,PDE,PADRE,,CATALDINO
754633,AVENIDA PADRE ADOLFO KOLPING,AV,AVENIDA,PDE,PADRE,,ADOLFO KOLPING
060321,RUA PADRE DOMINGOS GAVA,R,RUA,PDE,PADRE,,DOMINGOS GAVA
122912,PRACA PADRE LUIS RION,PC,PRACA,PDE,PADRE,,LUIS RION
361623,RUA PADRE TOMAS DE VILANOVA,R,RUA,PDE,PADRE,,TOMAS DE VILANOVA
067768,RUA PADRE EUGENIO LOPES,R,RUA,PDE,PADRE,,EUGENIO LOPES
004456,RUA PADRE ALARICO ZACARIAS,R,RUA,PDE,PADRE,,ALARICO ZACARIAS
016551,PRACA PADRE ANTONIO DE ARAUJO,PC,PRACA,PDE,PADRE,,ANTONIO DE ARAUJO
000396,AVENIDA PADRE SENA FREITAS,AV,AVENIDA,PDE,PADRE,,SENA FREITAS
NA,RUA PADRE ASCENSO GAGO,R,RUA,PDE,PADRE,,ASCENSO GAGO
621579,RUA PADRE FRANCISCO TANHO,R,RUA,PDE,PADRE,,FRANCISCO TANHO
016446,RUA PADRE ANTONIO DANGELO,R,RUA,PDE,PADRE,,ANTONIO DANGELO
259314,TRAVESSA PADRE GONCALO DE VERAS,TV,TRAVESSA,PDE,PADRE,,GONCALO DE VERAS
295469,TRAVESSA PADRE WALTER SCHEWIORA,TV,TRAVESSA,PDE,PADRE,,WALTER SCHEWIORA
204773,RUA PADRE RODOLFO KOMOREK,R,RUA,PDE,PADRE,,RODOLFO KOMOREK
176729,RUA PADRE SALVADOR MACHADO,R,RUA,PDE,PADRE,,SALVADOR MACHADO
299685,RUA PADRE JACOB ROLAND,R,RUA,PDE,PADRE,,JACOB ROLAND
649929,RUA PADRE NELSON ANTONINO,R,RUA,PDE,PADRE,,NELSON ANTONINO
104132,RUA PADRE JOAO PEDRO GAY,R,RUA,PDE,PADRE,,JOAO PEDRO GAY
042587,RUA PADRE CARESIA,R,RUA,PDE,PADRE,,CARESIA
453021,PRACA PADRE JOAO BOSCO PENIDO BURNIER,PC,PRACA,PDE,PADRE,,JOAO BOSCO PENIDO BURNIER
685194,RUA PADRE JOSE ANTONIO ROMANO,R,RUA,PDE,PADRE,,JOSE ANTONIO ROMANO
678112,RUA PADRE MANUEL ALVARES CARNEIRO,R,RUA,PDE,PADRE,,MANUEL ALVARES CARNEIRO
103110,RUA PADRE JOAO FRANCO,R,RUA,PDE,PADRE,,JOAO FRANCO
420883,RUA PADRE ANTONIO SOLER,R,RUA,PDE,PADRE,,ANTONIO SOLER
000744,RUA PADRE ABREU E LIMA,R,RUA,PDE,PADRE,,ABREU E LIMA
NA,RUA PADRE CICERO,R,RUA,PDE,PADRE,,CICERO
014923,RUA PADRE CONSTANTINO GALASSI,R,RUA,PDE,PADRE,,CONSTANTINO GALASSI
235750,RUA PADRE BALTAZAR DUARTE,R,RUA,PDE,PADRE,,BALTAZAR DUARTE
741124,RUA PADRE JOSEMARIA ESCRIVA DE BALAGUER,R,RUA,PDE,PADRE,,JOSEMARIA ESCRIVA DE BALAGUER
