id_osm,intersec,radar_proximo
4877439,2,FALSE
4877440,3,FALSE
4877441,3,FALSE
4877442,1,FALSE
4877443,2,FALSE
4877444,4,FALSE
4877445,6,FALSE
4877446,4,FALSE
4877447,2,FALSE
4877448,3,FALSE
4877449,4,FALSE
4877450,2,FALSE
4877452,2,FALSE
4877453,4,FALSE
4877454,2,FALSE
4877455,1,FALSE
4877456,2,FALSE
4877459,2,FALSE
4877460,3,FALSE
4902369,3,FALSE
4902370,3,FALSE
4902371,2,FALSE
4902372,4,FALSE
4902373,2,FALSE
4902374,6,FALSE
4902375,2,FALSE
4902376,2,FALSE
4902377,3,FALSE
4902378,2,FALSE
4902389,3,FALSE
4902391,3,FALSE
4902392,3,FALSE
4902394,14,FALSE
4902396,2,FALSE
4902399,2,FALSE
4902401,2,FALSE
4902402,3,FALSE
4902404,3,FALSE
4902407,2,FALSE
4902408,NA,FALSE
4902409,2,FALSE
4902412,2,FALSE
4902414,3,FALSE
4902415,4,FALSE
4902416,4,FALSE
4902417,1,FALSE
4902418,6,FALSE
4902419,5,FALSE
4902420,1,FALSE
4902421,3,FALSE
4902423,2,FALSE
4902426,5,FALSE
4902428,2,FALSE
4902431,4,FALSE
4902433,12,FALSE
4902436,7,FALSE
4902438,5,FALSE
4902440,3,FALSE
4902441,4,FALSE
4902442,3,FALSE
4902443,5,FALSE
4902444,2,FALSE
4902445,1,FALSE
4902446,2,FALSE
4902447,2,FALSE
4902448,3,FALSE
4902449,1,FALSE
4902450,4,FALSE
4902451,4,FALSE
4902453,2,FALSE
4902454,2,FALSE
4902455,1,FALSE
4902456,3,FALSE
4902457,NA,FALSE
4902458,2,FALSE
4902459,2,FALSE
4902460,NA,FALSE
4902461,2,FALSE
4902462,2,FALSE
4902463,2,FALSE
4902465,3,FALSE
4902466,5,FALSE
4902467,2,FALSE
4902468,3,FALSE
4902469,1,FALSE
4902470,9,FALSE
4902471,2,FALSE
4902472,2,FALSE
4902473,NA,FALSE
4902474,NA,FALSE
4940653,NA,FALSE
4951910,NA,FALSE
5019943,NA,FALSE
5019944,NA,FALSE
5019945,2,FALSE
5019946,2,FALSE
5019947,2,FALSE
5019970,NA,FALSE
5019973,2,FALSE
5069454,6,FALSE
5069455,7,TRUE
5069479,5,FALSE
5124148,4,FALSE
5124150,2,FALSE
5124152,2,FALSE
5124153,5,FALSE
5124155,2,FALSE
5124157,3,FALSE
5124158,3,FALSE
5124159,3,FALSE
5124160,1,FALSE
5124163,2,FALSE
5124164,4,TRUE
5124165,NA,FALSE
5124166,3,FALSE
5124167,2,FALSE
5124168,3,FALSE
5124169,7,FALSE
5124171,1,FALSE
5124185,2,FALSE
5135001,3,FALSE
5135002,3,TRUE
5585458,3,FALSE
5585547,NA,FALSE
5585625,NA,FALSE
5585869,NA,FALSE
5585968,1,FALSE
5586030,NA,FALSE
5586124,NA,FALSE
5586263,NA,FALSE
5586314,NA,FALSE
5586934,1,FALSE
5586937,NA,FALSE
5586938,NA,FALSE
5586939,NA,FALSE
6172253,NA,TRUE
6172255,NA,TRUE
6172256,NA,FALSE
8035413,2,FALSE
8035414,3,FALSE
8035415,4,FALSE
8035417,1,FALSE
8035420,4,FALSE
8035422,NA,FALSE
8035425,NA,FALSE
8035427,NA,FALSE
8035428,NA,FALSE
8035433,16,FALSE
8035435,3,FALSE
8035436,5,FALSE
8035437,5,FALSE
8035439,5,FALSE
8035440,1,FALSE
8035441,1,FALSE
8035442,4,FALSE
8035443,4,FALSE
8035444,1,FALSE
8035445,6,FALSE
8035446,5,FALSE
8035447,3,FALSE
8035449,2,FALSE
8035450,2,FALSE
8035451,2,FALSE
8035452,6,FALSE
8035453,4,FALSE
8035454,4,FALSE
8035455,3,FALSE
