ano,mes,tipo_veiculo,frota
2005,8,caminhonete,150753
2005,6,motocicleta,338128
2005,8,trator rodas,1573
2005,6,trator rodas,1568
2005,8,caminhao trator,13515
2015,7,onibus,43246
2015,7,motoneta,134429
2015,5,triciclo,876
2015,8,automovel,5280614
2015,8,camioneta,396429
2015,7,ciclomotor,3130
2015,7,caminhonete,440362
2015,6,quadriciclo,21
2015,8,micro-onibus,37143
2015,7,semi-reboque,36119
2015,5,trator esteira,4
2022,6,automovel,6034787
2022,4,ciclomotor,4774
2022,5,utilitario,190508
2022,3,quadriciclo,48
2022,3,micro-onibus,41058
2022,6,trator rodas,3595
2014,2,caminhao,116272
2014,2,motoneta,118372
2014,2,triciclo,764
2014,1,utilitario,74671
2014,1,semi-reboque,34389
2014,1,caminhao trator,18955
2020,12,bonde,8
2020,11,outros,884
2020,9,outros,886
2020,12,triciclo,1413
2020,12,automovel,5955433
2020,11,caminhonete,535979
2020,10,caminhonete,534936
2020,10,motocicleta,1046009
2020,9,motocicleta,1041356
2020,9,quadriciclo,43
2020,11,semi-reboque,41821
2020,9,semi-reboque,41118
2017,4,bonde,8
2017,3,bonde,8
2017,3,reboque,49103
2017,4,reboque,49171
2017,4,caminhao,127950
2017,5,caminhao,128106
2017,5,triciclo,1075
2017,2,automovel,5461520
2017,5,motocicleta,907066
2017,3,trator rodas,3201
2017,4,chassi plataforma,194
2009,2,bonde,15
2009,3,onibus,39238
2009,2,reboque,38737
2009,3,ciclomotor,2504
2009,1,caminhonete,310364
2009,2,caminhonete,311745
2009,2,quadriciclo,24
2009,3,chassi plataforma,549
2011,8,reboque,41530
2011,6,utilitario,48258
2011,6,trator esteira,5
2011,7,caminhao trator,18698
2014,12,automovel,5160727
2014,11,trator esteira,4
2013,2,outros,293
2013,3,outros,297
2013,1,motoneta,109092
2013,4,camioneta,338655
2013,1,camioneta,333998
2013,2,caminhonete,385435
2013,4,trator esteira,4
2013,3,caminhao trator,18521
2013,1,chassi plataforma,260
2021,7,bonde,8
2021,8,onibus,49844
2021,6,ciclomotor,4450
2021,8,utilitario,177805
2021,6,semi-reboque,43150
2021,8,caminhao trator,33031
2010,9,reboque,40418
2010,7,motoneta,90369
2010,10,automovel,4606237
2010,7,camioneta,276639
2010,8,caminhonete,345067
2010,6,caminhonete,341711
2010,9,caminhonete,346765
2010,7,micro-onibus,31077
2010,10,semi-reboque,29772
2010,8,trator esteira,5
2010,9,chassi plataforma,331
2006,8,bonde,35
2006,10,motoneta,57171
2006,7,side-car,78
2006,10,side-car,80
2006,7,utilitario,10941
2006,8,quadriciclo,24
2007,1,automovel,3800039
2007,1,quadriciclo,24
2007,1,motocicleta,432667
2007,1,camioneta,290416
2007,1,triciclo,204
2007,1,micro-onibus,26631
2023,12,trator rodas,3770
2023,12,trator esteira,5
2015,9,caminhao,123436
2015,9,triciclo,924
2015,10,automovel,5302853
2015,10,semi-reboque,36272
2015,9,trator rodas,3099
2005,12,onibus,34171
2005,12,reboque,35561
2005,9,caminhao,121038
2005,11,caminhao,121320
2005,11,caminhonete,159008
2005,9,caminhonete,155807
2005,12,trator rodas,1596
2005,9,chassi plataforma,712
2009,11,onibus,39027
2009,9,onibus,39097
2009,11,reboque,39415
2009,11,caminhao,134779
2009,10,caminhao,135253
2009,9,caminhao,135701
2009,11,motoneta,85259
2009,11,camioneta,263088
2009,10,caminhonete,329000
2009,10,trator esteira,5
2009,11,caminhao trator,17839
2009,11,chassi plataforma,429
2016,8,reboque,48170
2016,5,side-car,90
2016,7,triciclo,1008
2016,6,automovel,5392385
2016,7,utilitario,104138
2016,6,semi-reboque,37085
2016,7,caminhao trator,24306
2013,10,outros,332
2013,9,triciclo,745
2013,9,utilitario,70972
2013,10,utilitario,72073
2013,9,quadriciclo,22
2013,10,micro-onibus,32937
2013,11,trator rodas,2978
2013,9,chassi plataforma,220
2005,1,caminhao,118811
2009,12,caminhao trator,17755
2009,12,outros,241
2021,12,ciclomotor,4635
2019,1,motocicleta,965112
2019,1,utilitario,134192
2019,1,caminhao,132494
2015,11,triciclo,939
2015,11,trator esteira,4
2017,1,motocicleta,897660
2017,1,side-car,91
2017,1,onibus,44137
2017,1,outros,624
2017,1,trator esteira,4
2013,12,onibus,41037
2013,12,bonde,8
2015,1,onibus,42953
2015,1,chassi plataforma,205
2015,1,bonde,8
2016,1,micro-onibus,37514
2022,1,onibus,49678
2022,2,outros,3383
2022,2,automovel,5984489
2022,1,motocicleta,1100098
2019,9,bonde,8
2019,9,outros,857
2019,10,side-car,91
2019,10,caminhao trator,29273
2011,1,utilitario,43932
2011,9,outros,281
2011,9,reboque,41655
2011,10,caminhao,124932
2011,10,motoneta,99221
2011,10,automovel,4723695
2011,9,caminhonete,367001
2011,9,motocicleta,740018
2011,10,motocicleta,743036
2011,10,caminhao trator,18834
2011,9,chassi plataforma,295
2012,8,outros,290
2012,7,utilitario,59004
2012,7,caminhonete,379411
2011,1,trator esteira,5
2011,1,bonde,10
2016,11,reboque,48608
2016,12,caminhao,127327
2016,12,side-car,91
2016,12,triciclo,1035
2016,12,chassi plataforma,195
2003,5,camioneta,314129
2003,4,caminhonete,101952
2003,5,quadriciclo,26
2003,4,micro-onibus,27052
2004,1,bonde,17
2004,2,onibus,31762
2010,1,camioneta,265865
2010,1,ciclomotor,2518
2019,11,outros,865
2019,12,reboque,54277
2019,12,caminhao,135850
2019,12,ciclomotor,4179
2019,12,caminhonete,518441
2019,11,motocicleta,1007791
2018,8,caminhao,131458
2018,8,motoneta,161445
2018,8,side-car,92
2018,8,ciclomotor,3967
2006,11,outros,250
2006,12,outros,248
2006,11,triciclo,203
2006,12,ciclomotor,2488
2006,12,motocicleta,427710
2006,11,chassi plataforma,770
2003,11,outros,283
2003,11,caminhao,115869
2003,11,automovel,3355529
2010,11,automovel,4615814
2010,12,micro-onibus,31192
2008,8,onibus,38788
2008,8,motocicleta,574198
2008,9,quadriciclo,24
2008,8,micro-onibus,28256
2008,9,micro-onibus,28430
2008,8,trator esteira,8
2008,9,trator esteira,8
2008,9,caminhao trator,17016
2016,10,reboque,48435
2016,9,caminhao,127025
2016,9,triciclo,1016
2016,9,camioneta,419513
2012,1,bonde,9
2012,2,caminhao,123216
2012,2,automovel,4756183
2012,2,motocicleta,756144
2012,2,micro-onibus,32403
2012,1,semi-reboque,32063
2022,12,reboque,61744
2022,12,semi-reboque,47578
2022,11,semi-reboque,47517
2022,11,trator esteira,5
2014,7,bonde,8
2014,8,onibus,42221
2014,7,caminhao,117675
2014,7,caminhonete,413462
2014,9,micro-onibus,35374
2014,7,trator esteira,4
2014,9,caminhao trator,20340
2003,2,reboque,32208
2003,3,reboque,32279
2003,2,automovel,3277710
2003,1,trator esteira,4
2003,2,caminhao trator,11852
2005,4,caminhao,119653
2005,3,caminhao,119316
2005,2,motoneta,49575
2005,4,micro-onibus,26351
2005,2,trator rodas,1551
2020,2,outros,872
2020,3,outros,876
2020,2,camioneta,487342
2020,2,micro-onibus,40093
2011,4,caminhao,126926
2011,3,caminhao,127394
2011,4,motoneta,94899
2011,2,side-car,86
2011,2,ciclomotor,2556
2011,2,motocicleta,712120
2011,2,trator rodas,2595
2011,3,caminhao trator,18335
2004,10,triciclo,174
2004,10,automovel,3467848
2004,12,automovel,3484052
2004,10,camioneta,310499
2004,11,caminhonete,125735
2004,10,caminhonete,125002
2004,10,caminhao trator,12593
2023,9,outros,1147
2023,11,quadriciclo,57
2023,9,quadriciclo,56
2023,11,micro-onibus,41766
2023,11,trator esteira,5
2023,11,caminhao trator,36624
2023,9,chassi plataforma,200
2008,2,side-car,81
2008,3,caminhonete,233550
2008,2,caminhao trator,15939
2008,6,bonde,23
2008,4,reboque,37559
2008,5,caminhao,132070
2008,6,motoneta,72655
2008,5,camioneta,236666
2008,6,trator rodas,1907
2008,4,trator rodas,1872
2008,5,caminhao trator,16425
2008,6,chassi plataforma,744
2023,7,bonde,8
2023,8,side-car,95
2023,8,ciclomotor,5846
2023,6,ciclomotor,5736
2023,7,ciclomotor,5797
2023,6,utilitario,208475
2023,8,quadriciclo,56
2023,7,micro-onibus,41467
2023,8,trator rodas,3730
2012,10,motoneta,107524
2012,11,motoneta,108064
2012,10,triciclo,722
2012,11,triciclo,730
2012,11,automovel,4838810
2012,11,camioneta,330789
2012,10,caminhonete,382429
2012,12,motocicleta,774570
2012,11,semi-reboque,32958
2004,8,reboque,33813
2004,7,caminhao,117357
2004,8,caminhao,117641
2004,7,side-car,65
2004,8,triciclo,168
2004,8,micro-onibus,26495
2008,11,onibus,39283
2008,10,outros,200
2008,12,reboque,38372
2008,11,side-car,87
2008,11,ciclomotor,2507
2008,10,ciclomotor,2506
2008,12,motocicleta,600117
2007,9,onibus,36885
2007,11,side-car,80
2007,10,ciclomotor,2493
2007,11,trator rodas,1819
2021,2,reboque,57032
2021,1,motoneta,187608
2021,2,side-car,93
2021,3,ciclomotor,4385
2021,1,caminhonete,537885
2021,4,motocicleta,1064595
2021,4,quadriciclo,45
2021,4,semi-reboque,42703
2021,1,trator esteira,5
2021,3,caminhao trator,32116
2021,11,bonde,8
2021,11,onibus,49744
2021,10,triciclo,1528
2021,9,camioneta,499610
2021,10,ciclomotor,4567
2021,11,utilitario,181955
2021,10,caminhonete,548688
2021,9,micro-onibus,40862
2021,11,trator rodas,3538
2023,2,outros,1110
2023,4,automovel,6132192
2023,5,camioneta,527315
2023,2,ciclomotor,5513
2023,2,motocicleta,1175580
2023,5,micro-onibus,41378
2023,5,semi-reboque,48206
2023,2,trator esteira,5
2010,5,,NA
2010,4,onibus,39282
2010,3,onibus,39303
2010,3,reboque,39976
2010,4,side-car,86
2010,4,camioneta,271781
2010,4,utilitario,38481
2010,5,utilitario,39121
2010,4,caminhonete,338859
2010,4,quadriciclo,22
2010,3,micro-onibus,30691
2010,4,semi-reboque,28549
2013,7,caminhao,117350
2013,7,motoneta,113127
2013,7,utilitario,69367
2013,5,caminhonete,389892
2016,3,side-car,90
2016,3,ciclomotor,3249
2016,2,utilitario,100162
2016,3,motocicleta,872882
2016,3,chassi plataforma,195
2006,1,onibus,34177
2006,3,outros,245
2006,3,ciclomotor,2488
2006,3,motocicleta,379902
2006,1,motocicleta,369490
2006,2,trator esteira,5
2006,5,onibus,34275
2006,4,onibus,34196
2006,5,reboque,36011
2006,5,automovel,3681655
2006,4,automovel,3663826
2006,6,caminhonete,168316
2006,6,quadriciclo,26
2006,5,quadriciclo,26
2007,7,outros,231
2007,8,reboque,36826
2007,8,caminhao,127412
2007,7,automovel,3915307
2007,8,utilitario,17061
2007,7,quadriciclo,24
2007,7,semi-reboque,24340
2007,6,trator esteira,7
2007,6,chassi plataforma,829
2012,5,reboque,42500
2012,5,camioneta,320632
2012,3,micro-onibus,32423
2012,3,semi-reboque,32218
2012,3,trator rodas,2856
2012,6,trator esteira,5
2018,12,reboque,51971
2018,11,motoneta,163839
2018,10,side-car,92
2018,10,utilitario,130667
2018,10,semi-reboque,38630
2018,12,trator rodas,3233
2018,10,caminhao trator,27540
2011,11,caminhao,124280
2011,12,automovel,4739236
2011,11,micro-onibus,31932
2017,6,bonde,8
2017,9,reboque,49798
2017,8,reboque,49623
2017,8,caminhao,128976
2017,7,side-car,91
2017,7,triciclo,1085
