logradouro,faixas,limite_velocidade,mao_unica,superficie,tipo_via,tamanho
RUA HEMATITA,NA,NA,NA,NA,residential,414.06576320521185
RUA HEMEL,NA,NA,NA,NA,residential,54.7196804988226
RUA HEMELINDA MIRANDA DOS SANTOS,NA,NA,NA,gravel,residential,407.42638495727323
RUA HEMENEGILDO PETEGROSSO,NA,NA,NA,asphalt,residential,441.15423630979853
RUA HEMETRIO CORDEIRO,NA,NA,NA,asphalt,residential,78.44825693040316
RUA HEMISFERIO,2,20,yes,asphalt,tertiary,909.0035603714044
RUA HEMOGENES DA SILVA,NA,NA,no,paved,residential,285.21268662635606
RUA HEMRIQUE,NA,NA,NA,NA,residential,129.42771151305027
RUA HENA,NA,NA,NA,paved,residential,521.610579558478
RUA HENBERTO SIMOES DO VALE,NA,NA,NA,NA,residential,210.0390136668866
RUA HENDRIK BLES,NA,NA,NA,asphalt,residential,61.860594519005076
RUA HENFIL,NA,NA,NA,paved,residential,215.56382770473616
RUA HENNING BOILESEN,NA,NA,NA,NA,residential,204.7686588035066
RUA HENOCH GAWENDO,NA,NA,yes,NA,residential,230.12060625836838
RUA HENRI AMIEL,NA,NA,NA,NA,residential,129.72199506583303
RUA HENRI BARBUSSE,NA,30,NA,NA,residential,276.43420353089493
RUA HENRI BECQUEREL,NA,NA,NA,NA,residential,85.81244305973924
RUA HENRI BELLECHOSE,NA,NA,yes,asphalt,residential,99.06295963711766
RUA HENRI BERTON,NA,NA,NA,NA,residential,200.26279963248567
RUA HENRI CASIMIR CABANIE,NA,NA,NA,NA,residential,124.73254229772132
RUA HENRI CROSS,NA,NA,NA,NA,residential,120.11811569637143
RUA HENRI DUNANT,2,42.5,no,asphalt,residential,1197.077050693452
RUA HENRI DUPARC,NA,NA,NA,NA,residential,184.66733724416343
RUA HENRI LACORDAIRE,NA,NA,NA,NA,residential,194.92473527715873
RUA HENRI LAUBE,NA,NA,NA,asphalt,residential,282.1077390103302
RUA HENRI LEBASQUE,NA,NA,NA,NA,residential,124.18073717047508
RUA HENRI MARECHAL,NA,NA,NA,NA,residential,100.21261571989513
RUA HENRI MARTINS,NA,NA,yes,asphalt,residential,279.40792788179385
RUA HENRI MATISSE,NA,NA,NA,NA,residential,51.88172320248961
RUA HENRI POINCARE,NA,NA,NA,asphalt,residential,113.71730952164286
RUA HENRI POTIRON,NA,NA,yes,asphalt,residential,97.51776159154534
RUA HENRI WEBER,NA,NA,NA,asphalt,residential,95.46611407950222
RUA HENRICA GRIGOLETTO RIZZO,NA,NA,yes,asphalt,residential,1056.2246218734642
RUA HENRIQUE,NA,NA,NA,asphalt,residential,219.92630909710297
RUA HENRIQUE ABADIE,NA,NA,NA,NA,residential,106.2441130554808
RUA HENRIQUE ABLAS,NA,NA,yes,NA,residential,135.65882884963855
RUA HENRIQUE ADAMUS,NA,NA,NA,asphalt,residential,199.73787309129784
RUA HENRIQUE ALBERTUS,NA,NA,NA,NA,residential,171.07304930061036
RUA HENRIQUE ALTES,NA,NA,yes,asphalt,residential,118.13090885582129
RUA HENRIQUE ALVES DOS SANTOS,NA,40,NA,asphalt,residential,231.1870103693354
RUA HENRIQUE ARBOS,NA,NA,NA,NA,residential,81.34904427698429
RUA HENRIQUE ARMBRUST,NA,NA,no,paved,residential,340.4912385964131
RUA HENRIQUE BARCELOS,NA,NA,yes,asphalt,residential,256.14771894793273
RUA HENRIQUE BARSOTI,NA,NA,NA,NA,residential,161.7012047366729
RUA HENRIQUE BECK,NA,NA,no,asphalt,residential,207.08994998156555
RUA HENRIQUE BERLAZE,NA,NA,NA,NA,residential,98.31770185238454
RUA HENRIQUE BERNARDELLI,NA,NA,yes,NA,residential,656.1726750580165
RUA HENRIQUE BERNARDELLI 26,NA,NA,NA,asphalt,residential,178.34057179383325
RUA HENRIQUE BERNARDETT,NA,NA,NA,unpaved,residential,550.8249513340942
RUA HENRIQUE BERTE,NA,30,NA,NA,residential,526.7779051614611
RUA HENRIQUE BLANCO VIDAL,NA,NA,NA,NA,service,51.3993385033827
RUA HENRIQUE BLAZE,NA,NA,NA,NA,residential,149.7955652494681
RUA HENRIQUE BOTTICINI,NA,NA,NA,asphalt,residential,151.6941383710355
RUA HENRIQUE BRAGLIA,NA,NA,no,asphalt,residential,551.2239936200048
RUA HENRIQUE BRAMMER NETO,NA,NA,yes,NA,residential,139.12440941176962
RUA HENRIQUE CAIADO,NA,NA,NA,NA,residential,100.52527395422766
RUA HENRIQUE CANO MUNHOZ,NA,NA,NA,NA,residential,121.18705827309036
RUA HENRIQUE CARLOS CORREA,NA,NA,NA,asphalt,service,102.85217990743631
RUA HENRIQUE CARNICELLI,NA,NA,no,paved,residential,156.00786728672543
RUA HENRIQUE CASELA,NA,NA,NA,NA,residential,174.43573362690648
RUA HENRIQUE CASTANHO,NA,NA,NA,asphalt,residential,80.24997847369103
RUA HENRIQUE CAVALEIRO,NA,NA,NA,NA,residential,64.9080145951769
RUA HENRIQUE CECILIO GOMES,NA,NA,NA,NA,residential,104.48594453435962
RUA HENRIQUE CELANI,NA,NA,NA,NA,residential,94.2156152975349
RUA HENRIQUE CESAR MUZZIO,NA,NA,NA,NA,residential,80.82955198455593
RUA HENRIQUE CHAVES,NA,NA,NA,NA,residential,469.5706031225591
RUA HENRIQUE COELHO,NA,NA,NA,asphalt,residential,92.89897692535509
RUA HENRIQUE COUBE,NA,NA,NA,NA,residential,234.28382528347402
RUA HENRIQUE DA COSTA,NA,NA,NA,NA,residential,311.7717312683725
RUA HENRIQUE DA CUNHA,NA,30,no,asphalt,residential,170.488005968632
RUA HENRIQUE DA MOTTA,NA,NA,NA,NA,residential,172.90966067245103
RUA HENRIQUE DA PAZ,NA,NA,NA,NA,residential,99.48573708069374
RUA HENRIQUE DA ROCHA LIMA,NA,50,yes,asphalt,residential,244.08972980781405
RUA HENRIQUE DA SILVA,NA,NA,no,asphalt,residential,150.89389595865157
RUA HENRIQUE DA SILVA FONTES,NA,NA,NA,asphalt,residential,277.69037278539867
RUA HENRIQUE DANCO,NA,NA,NA,asphalt,residential,63.79364546254479
RUA HENRIQUE DANTAS,NA,40,NA,asphalt,residential,173.75606257475232
RUA HENRIQUE DANTE D`AURIA,NA,NA,NA,asphalt,residential,236.06806220846897
RUA HENRIQUE DE ALMEIDA,2,NA,NA,asphalt,residential,99.39066832178092
RUA HENRIQUE DE BRITO,NA,NA,NA,asphalt,residential,141.95536971649636
RUA HENRIQUE DE CARVALHO,NA,NA,no,asphalt,residential,275.2664325450187
RUA HENRIQUE DE FARIA,NA,NA,NA,asphalt,residential,521.0736421558521
RUA HENRIQUE DE FREITAS,NA,NA,no,NA,residential,93.3412800175596
RUA HENRIQUE DE LEVA,NA,NA,NA,paved,residential,212.8892455407912
RUA HENRIQUE DE MORAES CAMARGO,NA,NA,NA,NA,residential,529.3903372293065
RUA HENRIQUE DE PAULA FRANCA,NA,NA,yes,asphalt,tertiary,187.59844126537735
RUA HENRIQUE DECOIN,NA,NA,NA,NA,residential,125.83963999612021
RUA HENRIQUE DIAS,2,36.67,yes,asphalt,residential,1716.187363921864
RUA HENRIQUE DUMONT,NA,NA,no,asphalt,residential,573.3120488750376
RUA HENRIQUE ELKIS,NA,NA,yes,asphalt,residential,123.97189120881355
RUA HENRIQUE ESTIENNE,NA,NA,NA,NA,residential,274.71869800548063
RUA HENRIQUE F MOREIRA,2,NA,NA,sett,residential,548.7315308116871
RUA HENRIQUE FACHINI,NA,NA,NA,NA,residential,361.9988315262206
RUA HENRIQUE FAUSTO LANCELOTTI,1,50,yes,asphalt,residential,274.4576929463744
RUA HENRIQUE FELIPE DA COSTA,2,NA,NA,asphalt,residential,390.3864808541722
RUA HENRIQUE FISCHER,2,30,yes,NA,residential,169.39865607327334
RUA HENRIQUE FLEIUS,NA,NA,yes,asphalt,residential,221.0587449226383
RUA HENRIQUE GABRIEL FORLI,NA,NA,yes,asphalt,residential,218.7251804619453
RUA HENRIQUE GALVAO,NA,NA,NA,asphalt,residential,141.5954949273377
RUA HENRIQUE GARCIA,NA,NA,NA,NA,service,253.41786824048665
RUA HENRIQUE GOMES DE BRITO,NA,NA,NA,asphalt,service,57.98320368412297
RUA HENRIQUE GOMES DE JESUS,NA,NA,no,asphalt,residential,594.8981495713439
RUA HENRIQUE GRANADOS,NA,NA,NA,NA,residential,207.7461362873446
RUA HENRIQUE GUAZZONI,NA,NA,NA,NA,residential,44.73141113716439
RUA HENRIQUE GUILHERME NICOLINI,NA,NA,NA,NA,residential,613.467924899675
RUA HENRIQUE HESSEL,NA,NA,NA,NA,residential,3513.3845261940914
RUA HENRIQUE IVANO KAMMERMANN,NA,NA,NA,NA,residential,84.2203749795592
RUA HENRIQUE JACOBS,NA,NA,yes,asphalt,residential,842.595423718749
RUA HENRIQUE JORGE GUEDES,NA,NA,NA,asphalt,residential,131.77641798480747
RUA HENRIQUE JOSE TESTAI,NA,NA,NA,NA,residential,178.09088462857105
RUA HENRIQUE KLEIN,NA,NA,NA,NA,residential,135.83162142907287
RUA HENRIQUE LEITAO,1.33,40,yes,asphalt,residential,353.47940079605104
RUA HENRIQUE LEONESSA,NA,NA,NA,asphalt,tertiary,61.41650225190397
RUA HENRIQUE LIBERTI,NA,NA,NA,asphalt,residential,110.83020550868041
RUA HENRIQUE LINDENBERG,NA,NA,yes,asphalt,residential,260.98223962006006
RUA HENRIQUE LOBO,NA,NA,NA,NA,residential,324.3615365043019
RUA HENRIQUE LOFREDO,NA,NA,NA,NA,residential,279.1843765286129
RUA HENRIQUE LORENTZ,NA,NA,NA,NA,residential,366.79280216654337
RUA HENRIQUE MACHADO,NA,NA,NA,cobblestone,residential,115.87949456932189
RUA HENRIQUE MANTOVANI,NA,NA,NA,asphalt,residential,209.71887825169813
RUA HENRIQUE MARTINS,2,40,yes,asphalt,residential,1153.382813656045
RUA HENRIQUE MATIAS,NA,NA,NA,NA,residential,137.27476827429572
RUA HENRIQUE MATRAS,NA,NA,no,paved,residential,143.98728765558684
RUA HENRIQUE MAZZAUTI,NA,NA,NA,asphalt,residential,759.3411654991695
RUA HENRIQUE MAZZEI,NA,30,NA,asphalt,residential,537.6595034498669
RUA HENRIQUE MEDEM,NA,NA,NA,asphalt,residential,151.93899219361217
RUA HENRIQUE MEISEN,NA,30,NA,NA,residential,124.21779890338745
RUA HENRIQUE MENDES,NA,NA,yes,asphalt,residential,115.97571978699224
RUA HENRIQUE MIDLIN,NA,NA,NA,asphalt,residential,228.7649376986829
RUA HENRIQUE MONTEIRO,2,40,NA,asphalt,residential,288.81917068781144
RUA HENRIQUE MONTES,NA,NA,no,asphalt,residential,169.99481693842452
RUA HENRIQUE MOREIRA,NA,NA,NA,NA,residential,308.589855978521
RUA HENRIQUE MUZZIO,2,NA,NA,asphalt,residential,965.5214535167852
RUA HENRIQUE NERIO RAMOS,1,NA,NA,asphalt,residential,101.753280102457
RUA HENRIQUE NICOLA VINET,NA,NA,NA,NA,residential,213.3523409704909
RUA HENRIQUE ONGARI,NA,NA,no,asphalt,residential,367.97887546323904
RUA HENRIQUE OSVALDO,NA,NA,no,paved,residential,97.86106980482789
RUA HENRIQUE PAIS,NA,NA,NA,asphalt,residential,240.75932242932916
RUA HENRIQUE PERDIGAO,NA,NA,NA,asphalt,residential,493.9530682561923
RUA HENRIQUE PERES,NA,NA,NA,asphalt,residential,366.3393748585751
RUA HENRIQUE PINCHARA,NA,NA,yes,asphalt,residential,126.42539859390072
RUA HENRIQUE PORCHAT,NA,NA,NA,asphalt,residential,163.04850231268793
RUA HENRIQUE REICHMANN,NA,NA,NA,asphalt,residential,504.9599168604664
RUA HENRIQUE REIMBERG,NA,NA,NA,NA,residential,2393.8380315269937
RUA HENRIQUE RIBEIRO,NA,NA,yes,paved,residential,138.66022845978927
RUA HENRIQUE ROBBA,NA,NA,NA,asphalt,residential,825.3094360901322
RUA HENRIQUE RODRIGUES PERES,1.75,40,yes,asphalt,secondary,550.8343524054156
RUA HENRIQUE ROSA,2,40,yes,asphalt,tertiary,1002.542224067951
RUA HENRIQUE ROSCHEL CHRISTI,NA,NA,yes,paved,residential,956.7271475813156
RUA HENRIQUE SALVATORI,2,NA,NA,asphalt,residential,568.6183845539927
RUA HENRIQUE SAM MINDLIN,1.75,40,yes,asphalt,tertiary,2055.7251549437083
RUA HENRIQUE SAN MINDIN,1,NA,yes,asphalt,secondary,75.63484354421432
RUA HENRIQUE SAN MINDLIN,2,NA,NA,asphalt,secondary,381.11484545081163
RUA HENRIQUE SAYAGO SOARES,NA,NA,NA,NA,residential,216.39820426480725
RUA HENRIQUE SCHAUMANN,3.71,49.62,yes,asphalt,primary,2547.5444692403266
RUA HENRIQUE SCHUNCK,NA,NA,NA,asphalt,residential,203.74859283862537
RUA HENRIQUE SCHUNCK BRANCO,NA,NA,NA,gravel,residential,334.7927457227708
RUA HENRIQUE SCHURIG,NA,45,NA,asphalt,residential,942.1569874613529
RUA HENRIQUE SELLERA,NA,NA,NA,NA,residential,69.28014611437143
RUA HENRIQUE SERTORIO,1.6,NA,yes,asphalt,tertiary,578.0136592699324
RUA HENRIQUE SILVA,NA,NA,NA,NA,residential,126.04044335944215
RUA HENRIQUE SILVERIO,NA,NA,NA,NA,residential,96.70892379199412
RUA HENRIQUE SOUSA QUEIROS,NA,NA,yes,asphalt,residential,476.71044807722814
RUA HENRIQUE SOUZA BAYMA,NA,NA,NA,NA,residential,274.1371011842139
RUA HENRIQUE SUSO,NA,NA,NA,asphalt,residential,110.89507844641315
RUA HENRIQUE TERPINS,NA,NA,NA,NA,residential,64.2545763084574
RUA HENRIQUE TURELLI,NA,NA,NA,unpaved,unclassified,250.47331976964892
RUA HENRIQUE VEDIA,NA,NA,NA,NA,residential,141.5446867747246
RUA HENRIQUE WASSERMAN,NA,NA,no,NA,residential,187.31416269094302
RUA HENRIQUE WICKBOLD,NA,NA,NA,NA,service,108.74431768850401
RUA HENRIQUE XAVIER,NA,NA,no,asphalt,residential,315.37668335876685
RUA HENRIQUE XAVIER DE BRITO,NA,NA,NA,asphalt,residential,156.86003055666583
RUA HENRIQUETA NOGUEZ BRIEGA,NA,NA,NA,NA,residential,691.2720909056044
RUA HENRIQUETA PANTALEAO,2,NA,NA,asphalt,secondary,177.23371584622294
RUA HENRIQUETA SALVADORE GIACOMETTI,2,NA,yes,asphalt,residential,690.2005508235889
RUA HENRY ARTHUR JONES,NA,NA,NA,NA,residential,249.2575740906451
RUA HENRY CELIA,NA,NA,yes,asphalt,residential,276.07062160453165
RUA HENRY DUMONT,NA,NA,NA,asphalt,residential,83.25860918380724
RUA HENRY FORD,1.75,NA,yes,asphalt,tertiary,616.8077937557135
RUA HENRY FUSELI,NA,NA,NA,NA,residential,761.5882201974085
RUA HENRY LEONARDOS,NA,NA,NA,NA,residential,106.54262859185441
RUA HENRY MADIN,NA,NA,NA,NA,residential,38.465800602536156
RUA HENRY MICHAEL THAU,NA,NA,NA,NA,residential,399.0952216473952
RUA HENRY PALMER,NA,NA,NA,NA,residential,432.5152983684096
RUA HEQUEL TAVARES,NA,NA,NA,NA,service,42.65268593531475
RUA HERA DO CANADA,NA,NA,NA,paved,residential,223.26604903393078
RUA HERA TERRESTRE,NA,NA,NA,NA,residential,105.10243157488527
RUA HERACHYDES DAVILA PRADO,NA,NA,no,NA,residential,160.281009962197
RUA HERACLITO DE SOUSA MORAIS,NA,NA,no,NA,residential,190.4749613776882
RUA HERACLITO GRACA,NA,NA,NA,asphalt,residential,464.26175815273996
RUA HERACLITO ODILON,1.25,NA,yes,asphalt,tertiary,492.14321383759716
RUA HERACLITO SANDANO,NA,NA,NA,NA,residential,202.35530069766529
RUA HERAKLIT,NA,NA,NA,NA,service,117.4526603221345
RUA HERALDO EVANS,NA,NA,NA,asphalt,residential,534.1892756803254
RUA HERALDO JUNIOR,NA,NA,NA,asphalt,residential,122.99205705279786
RUA HERBALDO SICILIANO,NA,NA,NA,asphalt,residential,61.75326622104876
RUA HERBART,2.8,NA,yes,asphalt,tertiary,144.2633576620448
RUA HERBERT ALFRED LANDSBERGER,NA,NA,NA,NA,residential,287.2171757267197
RUA HERBERT ARRUDA PEREIRA,NA,NA,no,asphalt,residential,611.666682763101
RUA HERBERT DE SOUZA,NA,NA,yes,NA,residential,891.1040199068209
RUA HERBERT DE SOUZA  BETINHO,NA,NA,NA,NA,residential,783.1162757843682
RUA HERBERT FRAZER,NA,NA,NA,NA,residential,155.88779792968683
RUA HERBERT HOOVER,NA,NA,NA,asphalt,residential,472.8785800400209
RUA HERBERT MAYA DE VASCONCELOS,NA,NA,NA,asphalt,residential,460.55924299229076
RUA HERBERT MOSES,NA,40,NA,asphalt,residential,1243.897009114518
RUA HERBERT SMITH,NA,NA,NA,NA,residential,193.64816271775564
RUA HERBERT SPENCER,NA,NA,yes,NA,residential,1309.619244580149
RUA HERCILIA,NA,NA,NA,asphalt,residential,534.5320239707984
RUA HERCILIA DARTORA SZCENTES,NA,NA,NA,asphalt,residential,208.5324725151996
RUA HERCILIA GONCALVES DOS SANTOS,NA,NA,NA,NA,residential,405.6036284831796
RUA HERCILIO CONTRUCCI,NA,NA,NA,asphalt,residential,220.90236575351247
RUA HERCILIO LUZ,NA,NA,yes,asphalt,residential,103.8430430546483
RUA HERCILIO PEREIRA,NA,NA,NA,NA,residential,113.4689229958805
RUA HERCULANDIA,NA,NA,NA,NA,residential,214.26869505783185
RUA HERCULANO,NA,NA,NA,asphalt,residential,500.1111845933483
RUA HERCULANO DE CARVALHO,NA,NA,NA,NA,residential,419.0552984086308
RUA HERCULANO DE FREITAS,1.83,40,yes,asphalt,residential,2430.540148920141
RUA HERCULANO DUARTE,NA,NA,no,asphalt,residential,371.6638119235175
RUA HERCULANO GOMES,NA,NA,NA,ground,residential,314.1363423432678
RUA HERCULANO JOSE DOS SANTOS,NA,NA,NA,NA,residential,819.5776331461304
RUA HERCULANO MILANEZI,NA,NA,NA,paved,residential,257.3354902337
RUA HERCULANO PENA,NA,NA,NA,asphalt,residential,105.20073592754498
RUA HERCULES,NA,NA,NA,asphalt,residential,905.3828921412596
RUA HERCULES ABRUZZESSE,NA,NA,NA,NA,residential,230.29938613739657
RUA HERCULES ANTONIO BARCA,NA,NA,NA,asphalt,residential,336.46912587349493
RUA HERCULES BERNABEI,NA,NA,NA,NA,residential,210.72617346817225
RUA HERCULES FLORENCE,2,40,no,asphalt,residential,134.4115402582237
RUA HERDER,NA,NA,NA,asphalt,residential,72.05679344673676
RUA HERENITA SANTANA DO NASCIMENTO,NA,NA,NA,NA,residential,545.1554116025975
RUA HERGULANDO JOSE DE AGUIAR,NA,NA,NA,NA,residential,107.72819499742833
RUA HERIBERTO FRIAS,NA,NA,NA,NA,residential,93.10721938717363
RUA HERING,NA,NA,NA,asphalt,residential,39.15025015614494
RUA HERISON,NA,NA,NA,asphalt,residential,470.74783005721457
RUA HERIVELTO MARTINS,NA,NA,NA,NA,residential,113.17219345088651
RUA HERLON CHAVES,NA,NA,NA,NA,residential,58.60871754246553
RUA HERMAN BISSEN,NA,NA,no,asphalt,residential,130.51680274505674
RUA HERMAN DELANGE,NA,NA,NA,NA,residential,199.10807637065062
RUA HERMAN RECHTER,NA,NA,no,asphalt,residential,213.70029420695275
RUA HERMAN TELES RIBEIRO,1.5,NA,NA,asphalt,residential,703.8725227723181
RUA HERMANDO FRANCO,NA,NA,NA,NA,residential,288.97931773284876
RUA HERMANIA,NA,NA,NA,asphalt,residential,144.85229568374766
RUA HERMANN,1.33,NA,yes,asphalt,secondary,249.67210061129757
RUA HERMANN FRANK,NA,NA,NA,asphalt,residential,268.44264586011366
RUA HERMANN QUINTAS,NA,NA,NA,NA,residential,160.58639848406366
RUA HERMANO RIBEIRO DA SILVA,NA,NA,yes,asphalt,residential,291.2550231854658
RUA HERMELINDO BRANCO,NA,NA,NA,NA,residential,203.41069285045558
RUA HERMENEGILDO BALDI,NA,NA,NA,NA,residential,377.36633083251974
RUA HERMENEGILDO CAMPANATTI,NA,NA,NA,NA,residential,471.78006753172724
RUA HERMENEGILDO DE SOUZA MEDEIROS,NA,NA,NA,asphalt,residential,90.9855045641211
RUA HERMENEGILDO GOIS PARENTE,NA,NA,yes,NA,residential,843.8617307332935
RUA HERMENEGILDO GUARIENTO,NA,NA,NA,unpaved,residential,361.58113669005235
RUA HERMENEGILDO LEAL PACHECO,NA,NA,NA,NA,residential,223.2034391465487
RUA HERMENEGILDO MARTINI,NA,NA,NA,asphalt,residential,629.9376135792189
RUA HERMENEGILDO ORSI,NA,NA,NA,NA,residential,281.5879431427206
RUA HERMENEGILDO SIMOES LOURO,NA,NA,NA,paved,residential,138.61740422865856
RUA HERMENEGILDO SIMONI,NA,NA,NA,asphalt,residential,39.44887083731079
RUA HERMES DA FONSECA,NA,NA,NA,asphalt,residential,657.0509086522704
RUA HERMES DE OLIVEIRA,NA,NA,NA,NA,residential,211.2386519371489
RUA HERMES DE SOUZA BORGES,NA,NA,NA,paved,residential,473.55033561325473
RUA HERMES FONTES,2,NA,yes,cobblestone,residential,307.0703034911278
RUA HERMES RIBEIRO DE FREITAS,2,NA,NA,asphalt,tertiary,681.6380617147988
RUA HERMES SILVA,NA,NA,NA,NA,residential,79.34683486745828
RUA HERMETO LIMA,NA,NA,yes,NA,residential,1194.5292997383845
RUA HERMILO ALVES,NA,NA,NA,NA,residential,234.49780765076846
RUA HERMILO BORBA FILHO,NA,NA,NA,NA,residential,157.8535681600619
RUA HERMINDA BRANCO DE BORBA,NA,NA,NA,asphalt,residential,316.9479300080438
RUA HERMINIA,NA,NA,NA,NA,residential,223.2815344538647
RUA HERMINIA BIAGGIO SANTANA,NA,NA,NA,NA,residential,205.9426353365502
RUA HERMINIA FIDELIS,NA,NA,NA,asphalt,residential,308.13705676623266
RUA HERMINIA FIORAVANTE GONZALES,NA,NA,NA,asphalt,residential,180.55953606494577
RUA HERMINIA FRANCISCA FERREIRA,NA,NA,NA,asphalt,residential,95.59029683591572
RUA HERMINIA LOPES LOBO,NA,NA,yes,NA,residential,306.1865487984311
RUA HERMINIA PASQUALETE SERRA,NA,NA,NA,asphalt,service,289.05399628189286
RUA HERMINIA VILLA,NA,NA,NA,NA,residential,124.37744062030833
RUA HERMINIO AMADO,NA,NA,NA,NA,residential,258.97046517344194
RUA HERMINIO BORDINHON,NA,NA,NA,NA,residential,291.9762822224525
RUA HERMINIO DE JESUS MADEIRA,NA,NA,yes,NA,residential,122.43618375650337
RUA HERMINIO FALCON,NA,NA,no,asphalt,residential,244.7262509983827
RUA HERMINIO LEMOS,NA,NA,yes,asphalt,residential,493.586815516129
RUA HERMINIO MARDIGAM,1.5,NA,yes,asphalt,secondary,129.9893452664112
RUA HERMINIO ROSA,NA,NA,no,asphalt,residential,273.7702765315672
RUA HERMINIO VIAL,NA,NA,NA,asphalt,residential,426.8183077670123
RUA HERMOGENES ALMEIDA PRADO,NA,NA,yes,asphalt,residential,489.37822110400197
RUA HERMOGENES EDGAR PORTES,NA,NA,NA,NA,residential,316.9597961010509
RUA HERMOGENES LIMA,NA,NA,NA,NA,residential,272.6007306623333
RUA HERNANI MATARAZZO,NA,NA,NA,NA,residential,104.07320463006346
RUA HEROCITO BRAGA,NA,NA,NA,asphalt,residential,62.988176092838444
RUA HEROI,NA,NA,NA,NA,residential,156.160127420086
RUA HEROINA NEVES DE MELO,NA,NA,NA,NA,residential,37.46191811959096
RUA HEROIS DA FORCA EXPEDICIONARIA BRASILEIRA,NA,40,NA,asphalt,residential,507.57350177806575
RUA HERON DOMINGUES,NA,NA,NA,asphalt,residential,465.061707984338
RUA HERVAL,2.43,NA,yes,asphalt,tertiary,1434.6683604587013
RUA HERVAL DO OESTE,NA,NA,NA,NA,residential,52.86581214807262
RUA HERVE CORDOVIL,NA,NA,no,NA,residential,190.80106485925367
RUA HERWIS,1.6,NA,yes,asphalt,secondary,1002.055233280209
RUA HESTER,NA,NA,NA,asphalt,residential,124.10994293476016
RUA HEVEA,NA,NA,NA,asphalt,residential,77.36096613582106
RUA HIBISCO,NA,NA,NA,asphalt,residential,392.71903741837167
RUA HICAVO,NA,NA,NA,NA,residential,187.78361865956845
RUA HIDALGO,NA,NA,NA,NA,residential,57.687106380087464
RUA HIDENITA,NA,NA,NA,asphalt,residential,55.4977031892044
RUA HIDEO OSHIMA,NA,NA,yes,asphalt,residential,305.36290385406335
RUA HIDEO SINZATO,NA,NA,NA,NA,residential,676.6227561957144
RUA HIDEO SUGUIYAMA,NA,NA,NA,asphalt,residential,297.4144381276656
RUA HIDROLANDIA,NA,NA,yes,asphalt,residential,123.40650698235484
RUA HIDROLINA,NA,NA,NA,asphalt,residential,131.18326168866167
RUA HIERAPOLIS,NA,NA,NA,NA,residential,221.48668732608377
RUA HIGIANOPOLIS,NA,NA,NA,NA,service,143.9150905821955
RUA HIGIENOPOLIS,NA,40,yes,asphalt,residential,199.45722629434172
RUA HIGINO ANGLES,NA,NA,NA,NA,residential,178.91754060835927
RUA HIGINO BERNE,NA,NA,NA,asphalt,residential,148.21344724292734
RUA HIGINO MESSA,NA,NA,NA,NA,residential,401.7149344496919
RUA HIGINO PELLEGRINI,NA,NA,no,asphalt,residential,97.22640480078428
RUA HIGUARANA,NA,NA,NA,asphalt,residential,105.39744619851888
RUA HILARIA,NA,NA,NA,NA,residential,92.10545219196709
RUA HILARIO ASCABUSI,NA,NA,NA,asphalt,residential,324.338299573595
RUA HILARIO BUZZARELLO,NA,NA,NA,asphalt,residential,278.2040592246984
RUA HILARIO CAPOTE VALENTE,NA,NA,yes,NA,residential,395.54111358962126
RUA HILARIO CORREIA,NA,NA,NA,NA,residential,271.41423078577014
RUA HILARIO DIAS DOS SANTOS,NA,NA,yes,NA,residential,215.14510660022825
RUA HILARIO FURLAN,NA,NA,yes,asphalt,residential,178.7771235187285
RUA HILARIO LAGOS,NA,NA,NA,asphalt,residential,256.13703682687816
RUA HILARIO MACHADO,NA,NA,NA,NA,residential,112.29737477307071
RUA HILARIO MAGRO JUNIOR,NA,NA,yes,asphalt,residential,651.1018549332478
RUA HILARIO PINTO DE ALMEIDA,NA,NA,NA,asphalt,residential,290.49606781441275
RUA HILARIO PIRES,NA,NA,yes,asphalt,residential,372.3896310764948
RUA HILARIO PIRES DE FREITAS,2,NA,NA,NA,residential,277.3110489589356
RUA HILARIO RIBEIRO,NA,NA,NA,asphalt,residential,231.8792710379292
RUA HILARIO TEIXEIRA DA SILVA,NA,30,NA,asphalt,residential,239.94285301722155
RUA HILAURENTINO DA SILVA,NA,NA,NA,NA,residential,54.6080636333703
RUA HILDA,NA,NA,NA,NA,residential,59.03636043151591
RUA HILDA CICARINI,NA,NA,NA,NA,residential,221.7236651793714
RUA HILDA MARTHA DO PRADO DE OLIVEIRA,NA,NA,NA,dirt,residential,234.12802393778108
RUA HILDEBRANDO BENEDITO DA SILVA,NA,NA,no,NA,residential,537.5149134641696
RUA HILDEBRANDO DA SILVEIRA,NA,NA,NA,paved,residential,821.5055648531691
RUA HILDEBRANDO DE ARAUJO,NA,NA,NA,ground,residential,266.73051437589436
RUA HILDEBRANDO FRANK,NA,NA,NA,asphalt,residential,280.48825885129924
RUA HILDEBRANDO SIQUEIRA,2,40,yes,asphalt,tertiary,758.6699373672792
RUA HILDEBRANDO THOMAZ DE CARVALHO,NA,NA,yes,asphalt,residential,158.46717860845786
RUA HILDEGARD JURGERFELD,NA,NA,NA,NA,residential,193.3732924749672
RUA HILEIA,NA,NA,NA,NA,residential,150.53877004960404
RUA HILEIA AMAZONICA,NA,NA,NA,NA,residential,496.780314612131
RUA HILTON,NA,NA,NA,NA,residential,116.89339597683174
RUA HILTON CORDEIRO FREITAS,NA,NA,NA,NA,unclassified,109.25794508023557
RUA HILTON NUNES,NA,NA,yes,NA,residential,316.18026481210643
