logradouro,faixas,limite_velocidade,mao_unica,superficie,tipo_via,tamanho
ALAMEDA APETUPAS,2,NA,yes,asphalt,residential,594.1554893785117
ALAMEDA APODI,NA,NA,NA,NA,residential,474.809578400019
ALAMEDA ARACA,NA,NA,NA,NA,residential,206.57415904063805
ALAMEDA ARAGUACEMA,NA,NA,NA,NA,residential,443.9063492281128
ALAMEDA ARAGUAIA,2,NA,yes,asphalt,tertiary,2118.0827059525072
ALAMEDA ARAPOEMA,NA,NA,NA,asphalt,unclassified,560.098820078346
ALAMEDA ARARIPE,NA,NA,NA,NA,residential,272.73183561078156
ALAMEDA ARGENTINA,NA,NA,NA,asphalt,residential,164.19628795966116
ALAMEDA ARI BARROSO,NA,NA,NA,NA,residential,255.9670000938908
ALAMEDA ARISTOTENES CLAUDIO SBRIGHI,NA,80,no,unpaved,residential,1474.3886790818385
ALAMEDA ARLINDO FARIAS,NA,30,NA,NA,residential,216.89791748469392
ALAMEDA AROEIRA VERMELHA,NA,30,NA,paved,residential,297.8962089600401
ALAMEDA AUSTRIA,NA,NA,NA,NA,residential,250.99871467249477
ALAMEDA AVES,NA,NA,NA,NA,service,388.8714709160576
ALAMEDA BAHIA,NA,NA,NA,NA,residential,77.07735117243344
ALAMEDA BARAO DE LIMEIRA,2,NA,no,asphalt,residential,1548.7427742261302
ALAMEDA BARAO DE PIRACICABA,NA,NA,yes,asphalt,residential,936.8651283203275
ALAMEDA BARROS,2,NA,yes,asphalt,residential,962.5179160496186
ALAMEDA BATATAIS,NA,NA,NA,NA,residential,108.52028986223367
ALAMEDA BATUIRA,NA,NA,no,NA,residential,393.31029687761446
ALAMEDA BATURITE,NA,NA,NA,NA,residential,292.93023818519197
ALAMEDA BELA VISTA,NA,NA,NA,NA,service,113.89908011622639
ALAMEDA BELGICA,NA,NA,NA,NA,residential,258.38396246108283
ALAMEDA BEM TE VIS,NA,NA,NA,NA,residential,411.05405001354785
ALAMEDA BISAO,NA,NA,NA,NA,service,58.83558462380287
ALAMEDA BOTUCATU,NA,NA,NA,NA,residential,82.77626456909502
ALAMEDA BRAGANCA,NA,NA,NA,unpaved,residential,796.7822065788336
ALAMEDA BURITI,NA,30,NA,paved,residential,291.1448305012376
ALAMEDA CABERNET,NA,NA,NA,asphalt,residential,703.4330147709525
ALAMEDA CAIAPOS,NA,NA,yes,asphalt,unclassified,1005.9993953176909
ALAMEDA CALCUTA,NA,NA,NA,asphalt,residential,711.8774871024126
ALAMEDA CALICUT,NA,NA,NA,NA,residential,352.4862711489849
